Order Date,Customer Name,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode
11-07-2025,Tiya Mani,Kitchen,Microwave,Microwave Officiis,3,8844,0,26532,3837.38,UPI
29-12-2023,Vihaan Loyal,Kitchen,Cookware Set,Cookware Set Quo,3,32484,5,92579.4,14375.96,COD
12-12-2023,Ritvik Vyas,Home Decor,Clock,Clock Itaque,2,26027,5,49451.3,8546.38,UPI
22-12-2024,Ivana Hegde,Beauty,Foundation,Foundation Nihil,4,43826,5,166538.8,17272.57,Credit Card
07-04-2024,Vardaniya Ramaswamy,Toys,Action Figure,Action Figure Enim,1,39221,15,33337.85,2238.25,Debit Card
03-02-2025,Ela Chakraborty,Toys,RC Car,RC Car In,1,54312,0,54312,10936.17,Net Banking
21-06-2025,Taimur Tara,Clothing,Kids Wear,Kids Wear Aliquid,1,15748,0,15748,2754.67,COD
31-07-2024,Hrishita Chanda,Electronics,Headphones,Headphones Labore,2,68044,10,122479.2,10609.67,COD
26-09-2025,Myra Handa,Home Decor,Clock,Clock Officia,5,8465,0,42325,8053.7,COD
22-07-2024,Anvi Mammen,Furniture,Sofa,Sofa Dolor,1,63767,20,51013.6,4109.49,COD
14-09-2024,Shamik Walla,Books,Biography,Biography Mollitia,5,43178,0,215890,19440.44,Credit Card
21-06-2024,Inaaya  Tandon,Kitchen,Juicer,Juicer Possimus,5,44801,15,190404.25,16507.93,UPI
21-08-2025,Shayak Sekhon,Home Decor,Cushion,Cushion Quasi,4,71174,5,270461.2,51178.34,Credit Card
18-09-2025,Mehul Wable,Books,Comics,Comics Ad,2,56852,5,108018.8,15879.48,Debit Card
01-04-2025,Raghav Samra,Furniture,Table,Table Expedita,3,8167,15,20825.85,3866.48,Net Banking
07-04-2024,Kiara Saha,Sports,Dumbbells,Dumbbells Voluptatem,2,59433,10,106979.4,24846.59,Credit Card
21-03-2024,Yasmin Kamdar,Groceries,Wheat,Wheat Beatae,3,42341,0,127023,22887.76,COD
28-07-2025,Inaaya  Walla,Sports,Tennis Racket,Tennis Racket Doloremque,5,23230,10,104535,22068.31,Debit Card
29-06-2024,Saira Kapoor,Sports,Football,Football Nesciunt,3,39790,0,119370,25753.35,Debit Card
29-10-2024,Uthkarsh Grewal,Kitchen,Mixer Grinder,Mixer Grinder Officia,3,15794,15,40274.7,4036,Net Banking
16-01-2025,Amira Chakraborty,Clothing,Men's Wear,Men's Wear Quos,1,10635,0,10635,1958.69,UPI
16-04-2025,Nakul Srivastava,Toys,Action Figure,Action Figure Dolor,1,64954,10,58458.6,6815.4,COD
28-09-2024,Saanvi Vasa,Furniture,Bed,Bed Eius,1,47269,20,37815.2,3812.6,Net Banking
23-12-2023,Ritvik Agarwal,Beauty,Face Cream,Face Cream Id,5,21181,15,90019.25,4561.6,Credit Card
17-06-2024,Yasmin Sachdeva,Electronics,Camera,Camera At,2,40371,0,80742,17592.37,Debit Card
13-11-2024,Sara Chaudry,Toys,Board Game,Board Game Ab,5,18936,10,85212,9790.15,Debit Card
21-10-2024,Aarush Vig,Furniture,Cabinet,Cabinet A,1,44366,20,35492.8,8735.61,UPI
25-03-2025,Drishya Dasgupta,Books,Biography,Biography Deserunt,1,54330,0,54330,8921.7,UPI
03-08-2024,Jayan Sidhu,Groceries,Oil,Oil In,4,27952,20,89446.4,11672.93,COD
02-08-2024,Jivin Kaul,Clothing,Accessories,Accessories Culpa,5,10007,0,50035,11418.45,UPI
02-12-2023,Aaina Lalla,Home Decor,Lamp,Lamp Exercitationem,2,8172,0,16344,3724.06,Net Banking
27-02-2025,Aayush Setty,Electronics,Mobile,Mobile Magnam,5,27145,10,122152.5,24218.26,Credit Card
09-10-2024,Jivin Cheema,Beauty,Perfume,Perfume Neque,4,73974,0,295896,36664.27,Net Banking
20-04-2025,Ritvik Shah,Sports,Cricket Bat,Cricket Bat Delectus,4,36775,5,139745,17301.9,Net Banking
03-08-2024,Samiha Halder,Kitchen,Cookware Set,Cookware Set Minima,2,8566,15,14562.2,2893.23,Credit Card
23-06-2024,Emir Subramaniam,Toys,Puzzle,Puzzle Nulla,2,10036,0,20072,2542.42,Net Banking
04-12-2023,Lakshay Kari,Furniture,Chair,Chair Veniam,4,33969,10,122288.4,16649.69,UPI
19-10-2023,Navya Vora,Clothing,Shoes,Shoes Dolores,2,29047,20,46475.2,7880.96,Debit Card
22-08-2024,Prerak Chakrabarti,Home Decor,Wall Art,Wall Art Quidem,4,15118,15,51401.2,2930.42,Net Banking
14-05-2025,Vedika Sane,Sports,Football,Football Architecto,4,24282,10,87415.2,6313.56,Debit Card
10-10-2023,Khushi Chada,Books,Non-Fiction,Non-Fiction Aliquid,1,57488,20,45990.4,10796.45,Debit Card
16-08-2024,Mehul Lala,Kitchen,Refrigerator,Refrigerator Quibusdam,1,68404,5,64983.8,10469.59,COD
02-01-2025,Lagan Walla,Furniture,Sofa,Sofa Voluptas,4,27157,15,92333.8,8406.91,Net Banking
24-08-2024,Manikya Wali,Sports,Yoga Mat,Yoga Mat Nam,1,13561,0,13561,1296.86,Debit Card
17-04-2024,Hunar Sastry,Furniture,Table,Table Iusto,4,72077,10,259477.2,34177.07,Debit Card
22-01-2024,Tarini Talwar,Clothing,Accessories,Accessories Aspernatur,3,40130,5,114370.5,17660.94,Net Banking
20-06-2024,Dharmajan Sampath,Furniture,Sofa,Sofa Dolorum,2,48439,10,87190.2,19167.89,Net Banking
30-10-2024,Yakshit Tank,Beauty,Face Cream,Face Cream Necessitatibus,5,50870,20,203480,18437.07,COD
11-07-2024,Nishith Bora,Clothing,Men's Wear,Men's Wear Quia,1,73982,15,62884.7,6713.01,Debit Card
03-05-2024,Riya Thaker,Toys,Board Game,Board Game Ipsa,4,27226,20,87123.2,7321.18,Debit Card
10-02-2024,Baiju Barman,Toys,Doll,Doll Soluta,2,39988,5,75977.2,11786.61,COD
06-09-2025,Damini Kohli,Sports,Dumbbells,Dumbbells Unde,4,65084,10,234302.4,21939.1,UPI
16-05-2025,Hansh Bali,Groceries,Rice,Rice Odit,2,32591,5,61922.9,11144.15,UPI
15-01-2025,Stuvan Arora,Clothing,Kids Wear,Kids Wear Sed,3,19535,10,52744.5,5396.94,Debit Card
13-05-2024,Devansh Bhatti,Books,Non-Fiction,Non-Fiction Occaecati,4,22065,10,79434,9292.82,Debit Card
14-09-2024,Devansh Bains,Beauty,Shampoo,Shampoo Provident,2,48559,5,92262.1,6636.68,UPI
27-12-2024,Dhruv Srinivasan,Sports,Cricket Bat,Cricket Bat Minus,3,47479,0,142437,13234.4,Credit Card
24-12-2023,Chirag Grewal,Electronics,Headphones,Headphones Similique,3,62485,5,178082.25,27415.31,Net Banking
16-03-2024,Kimaya Mallick,Groceries,Spices,Spices Incidunt,5,18762,5,89119.5,6850.32,Credit Card
06-05-2024,Purab Boase,Electronics,Headphones,Headphones Maiores,5,76126,10,342567,48726.33,COD
20-03-2025,Ritvik Suri,Clothing,Women's Wear,Women's Wear Iste,2,60550,10,108990,22383.22,Debit Card
11-01-2024,Samarth Sibal,Groceries,Oil,Oil Sunt,3,42839,5,122091.15,30284.02,COD
03-03-2024,Ranbir Randhawa,Furniture,Sofa,Sofa Vel,4,21265,0,85060,4989.48,Net Banking
17-07-2025,Pihu Srinivasan,Furniture,Bed,Bed Architecto,3,50927,15,129863.85,11599.47,UPI
08-03-2025,Hunar Mand,Books,Fiction,Fiction Dolorem,4,29195,15,99263,7993.99,UPI
01-12-2024,Fateh Shroff,Sports,Tennis Racket,Tennis Racket Rem,5,39970,20,159880,13769.85,Net Banking
07-03-2025,Piya Korpal,Electronics,Headphones,Headphones Recusandae,4,19169,10,69008.4,15768.95,UPI
22-11-2024,Dishani Ranganathan,Toys,RC Car,RC Car Quam,3,12676,15,32323.8,4419.76,UPI
10-01-2025,Raunak Krishnamurthy,Beauty,Shampoo,Shampoo Rem,4,16526,15,56188.4,9406.6,Debit Card
03-03-2024,Devansh Karnik,Furniture,Chair,Chair Sint,4,4135,15,14059,765.58,Debit Card
02-10-2024,Misha Setty,Beauty,Lipstick,Lipstick Atque,2,22859,5,43432.1,8765.28,Credit Card
04-09-2025,Hridaan Karnik,Books,Non-Fiction,Non-Fiction Porro,2,77443,15,131653.1,24358.19,Net Banking
12-11-2023,Jayesh Kalita,Kitchen,Mixer Grinder,Mixer Grinder Aperiam,3,70729,0,212187,12130.56,UPI
14-05-2024,Madhav Jaggi,Kitchen,Mixer Grinder,Mixer Grinder Placeat,5,57741,0,288705,70358.14,Net Banking
18-07-2024,Priyansh Gour,Groceries,Rice,Rice Ullam,5,65635,10,295357.5,58308.1,COD
03-09-2025,Shray Dugar,Groceries,Spices,Spices Cum,3,17427,10,47052.9,10506.97,Net Banking
04-05-2024,Rhea Ratti,Clothing,Accessories,Accessories Est,5,41707,10,187681.5,30495.34,Net Banking
07-08-2024,Akarsh Kala,Kitchen,Cookware Set,Cookware Set Nihil,3,12925,20,31020,2254.01,Net Banking
06-11-2024,Neysa Kothari,Sports,Cricket Bat,Cricket Bat Ex,4,28451,20,91043.2,17254.47,UPI
16-02-2024,Shaan Seth,Home Decor,Wall Art,Wall Art Earum,1,46500,20,37200,7575.46,UPI
28-11-2024,Adira Dar,Home Decor,Clock,Clock Optio,4,73548,20,235353.6,32457.28,UPI
14-08-2025,Mehul Bose,Home Decor,Clock,Clock Maiores,3,51697,5,147336.45,21418.07,COD
17-07-2025,Reyansh Mahajan,Groceries,Sugar,Sugar Iusto,1,39944,15,33952.4,7336.34,Debit Card
04-02-2025,Dhruv Bhattacharyya,Beauty,Shampoo,Shampoo Libero,4,18454,20,59052.8,3756.64,Debit Card
14-12-2024,Advika Ramakrishnan,Electronics,Headphones,Headphones Exercitationem,2,30222,0,60444,5067.9,Net Banking
01-02-2024,Eshani Anand,Books,Biography,Biography Deleniti,5,7034,15,29894.5,7348.88,COD
15-07-2025,Vardaniya Borra,Electronics,Headphones,Headphones Doloribus,5,57335,20,229340,28515.03,Net Banking
26-10-2024,Misha Batra,Clothing,Women's Wear,Women's Wear Delectus,4,9093,10,32734.8,4322.02,COD
30-10-2023,Vaibhav Kunda,Kitchen,Juicer,Juicer Sint,2,34565,15,58760.5,13789.31,Credit Card
29-12-2023,Kimaya Vala,Home Decor,Wall Art,Wall Art Tenetur,5,52040,0,260200,18189.62,COD
13-02-2025,Onkar Verma,Electronics,Camera,Camera Minus,2,53365,20,85384,15861.81,Debit Card
